"name","assignment","length","begin","end","species","species-score","type","type support","subtype","subtype support"
"FJ502874.1","1IV","216","2196","2411","dengue virus type 1","","DENV-1 Genotype IV","86.0","",""
"FJ502864.1","Unassigned","216","2196","2411","dengue virus type 1","","Could not assign","","",""
"FJ502863.1","1V","216","2196","2411","dengue virus type 1","","DENV-1 Genotype V","80.0","",""
"KM277614.1","Unassigned","1485","935","2419","dengue virus type 1","","Could not assign","","",""
"KM277613.1","Unassigned","1485","935","2419","dengue virus type 1","","Could not assign","","",""
"EU282328.1","1IV","1485","935","2419","dengue virus type 1","","DENV-1 Genotype IV","100.0","",""
"MT835386.1","Unassigned","482","132","613","dengue virus type 1","","Could not assign","","",""
"MT835385.1","Unassigned","482","132","613","dengue virus type 1","","Could not assign","","",""
"MT835384.1","Unassigned","482","132","613","dengue virus type 1","","Could not assign","","",""
"AF298808.1","1I","10721","15","10735","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"MZ857203.1","1I","10179","95","10273","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"MZ857205.1","Unassigned","10179","95","10273","dengue virus type 1","","Could not assign","","",""
"MZ857206.1","1I","10179","95","10273","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"MZ857216.1","Unassigned","10179","95","10273","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OK040059.1","Unassigned","10161","95","10273","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OK040060.1","1I","10173","95","10273","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"MW979757.1","Unassigned","957","699","1655","dengue virus type 1","","Could not assign","","",""
"OL452067.1","1V","10705","1","10735","dengue virus type 1","","DENV-1 Genotype V","100.0","",""
"LC702703.1","","109","","","","","","","",""
"MT125053.1","Unassigned","232","8938","9169","dengue virus type 1","","Could not assign","","",""
"MT125054.1","Unassigned","232","8938","9169","dengue virus type 1","","Could not assign","","",""
"LC707378.1","Unassigned","1485","935","2419","dengue virus type 1","","Could not assign","","",""
"LC707382.1","Unassigned","10670","1","10670","dengue virus type 1","","Could not assign","","",""
"ON631270.1","Unassigned","4699","207","4905","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"ON631271.1","Unassigned","4698","207","4904","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"ON631272.1","Unassigned","4699","207","4905","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"ON631273.1","Unassigned","4699","207","4905","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"ON631274.1","1I","10004","156","10159","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"ON631275.1","1I","10004","156","10159","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"ON631276.1","1I","10549","11","10559","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
