Genome ID,Genome Name,Species,Completion Date,GenBank Accession,Size,collection_date,country,Geographic Group,Host Name,Host Common Name,length,lineages,variant,date_2weeks
37124.1092,Chikungunya virus CHIKV/Hu/Angola/NIID54/2016,Chikungunya virus,2017-12-22T00:00:00Z,LC259094,11825,2016-05-11,Angola,Africa,Homo sapiens,Human,11825,East-Central-South-African,ECSA,2016-05-11
37124.1114,Chikungunya virus S5_SDG,Chikungunya virus,2019-02-05T00:00:00Z,LC461588,184,2018-08-15,Sudan,Africa,Homo sapiens,Human,184,East-Central-South-African,ECSA,2018-08-15
37124.1118,Chikungunya virus 15_SDG,Chikungunya virus,2019-02-05T00:00:00Z,LC461589,184,2018-08-15,Sudan,Africa,Homo sapiens,Human,184,East-Central-South-African,ECSA,2018-08-15
37124.1121,Chikungunya virus 16_SDG,Chikungunya virus,2019-02-05T00:00:00Z,LC461590,184,2018-08-17,Sudan,Africa,Homo sapiens,Human,184,East-Central-South-African,ECSA,2018-08-17
37124.1124,Chikungunya virus 19_SDG,Chikungunya virus,2019-02-05T00:00:00Z,LC461591,184,2018-08-17,Sudan,Africa,Homo sapiens,Human,184,East-Central-South-African,ECSA,2018-08-17
37124.1125,Chikungunya virus 75_SDG,Chikungunya virus,2019-02-05T00:00:00Z,LC461592,184,2018-08-19,Sudan,Africa,Homo sapiens,Human,184,East-Central-South-African,ECSA,2018-08-19
37124.1129,Chikungunya virus 130_SDG,Chikungunya virus,2019-02-05T00:00:00Z,LC461593,184,2018-08-19,Sudan,Africa,Homo sapiens,Human,184,East-Central-South-African,ECSA,2018-08-19
37124.1137,Chikungunya virus 160_SDG,Chikungunya virus,2019-02-05T00:00:00Z,LC461594,184,2018-08-21,Sudan,Africa,Homo sapiens,Human,184,East-Central-South-African,ECSA,2018-08-21
37124.1138,Chikungunya virus 190_SDG,Chikungunya virus,2019-02-05T00:00:00Z,LC461595,184,2018-08-21,Sudan,Africa,Homo sapiens,Human,184,East-Central-South-African,ECSA,2018-08-21
37124.1145,Chikungunya virus 9_SDG,Chikungunya virus,2019-02-05T00:00:00Z,LC461596,184,2018-08-23,Sudan,Africa,Homo sapiens,Human,184,East-Central-South-African,ECSA,2018-08-23
37124.1149,Chikungunya virus J_SDG,Chikungunya virus,2019-02-05T00:00:00Z,LC461597,184,2018-08-23,Sudan,Africa,Homo sapiens,Human,184,East-Central-South-African,ECSA,2018-08-23
37124.1406,Chikungunya virus 05-115,Chikungunya virus,2006-05-24T00:00:00Z,AM258990,11601,,Reunion,Africa,,,11601,East-Central-South-African,ECSA,
37124.1412,Chikungunya virus 05-209,Chikungunya virus,2006-06-04T00:00:00Z,AM258991,11601,,Seychelles,Africa,,,11601,East-Central-South-African,ECSA,
37124.1416,Chikungunya virus 06-021,Chikungunya virus,2006-06-04T00:00:00Z,AM258992,11601,,Reunion,Africa,,,11601,East-Central-South-African,ECSA,
37124.1423,Chikungunya virus 06-027,Chikungunya virus,2006-06-04T00:00:00Z,AM258993,11598,,Reunion,Africa,,,11598,East-Central-South-African,ECSA,
37124.1429,Chikungunya virus 06-049,Chikungunya virus,2006-06-04T00:00:00Z,AM258994,11601,,Reunion,Africa,,,11601,East-Central-South-African,ECSA,
37124.1433,Chikungunya virus 05-061,Chikungunya virus,2006-06-04T00:00:00Z,AM258995,11601,,Reunion,Africa,,,11601,East-Central-South-African,ECSA,
37124.1728,Chikungunya virus UVE/CHIKV/Djibouti/2019/CNR53532,Chikungunya virus,2020-11-30T00:00:00Z,MT023791,11253,2019-12-15,Djibouti,Africa,C6/36,Lab host,11253,East-Central-South-African,ECSA,2019-12-15
37124.1807,Chikungunya virus chik DRC007,Chikungunya virus,2016-07-26T00:00:00Z,AY549575,1125,,Democratic Republic of the Congo,Africa,Homo sapiens,Human,1125,East-Central-South-African,ECSA,
37124.1812,Chikungunya virus chik DRC010,Chikungunya virus,2016-07-26T00:00:00Z,AY549576,1125,,Democratic Republic of the Congo,Africa,Homo sapiens,Human,1125,East-Central-South-African,ECSA,
37124.1814,Chikungunya virus chik DRC027,Chikungunya virus,2016-07-26T00:00:00Z,AY549577,1125,,Democratic Republic of the Congo,Africa,Homo sapiens,Human,1125,East-Central-South-African,ECSA,
37124.1819,Chikungunya virus chik DRC1718,Chikungunya virus,2016-07-26T00:00:00Z,AY549578,1125,,Democratic Republic of the Congo,Africa,Homo sapiens,Human,1125,East-Central-South-African,ECSA,
37124.1822,Chikungunya virus chik DRC1719,Chikungunya virus,2016-07-26T00:00:00Z,AY549579,1124,,Democratic Republic of the Congo,Africa,Homo sapiens,Human,1124,East-Central-South-African,ECSA,
37124.1825,Chikungunya virus chik DRC1720,Chikungunya virus,2016-07-26T00:00:00Z,AY549580,1125,,Democratic Republic of the Congo,Africa,Homo sapiens,Human,1125,East-Central-South-African,ECSA,
37124.1829,Chikungunya virus chik DRC1725,Chikungunya virus,2016-07-26T00:00:00Z,AY549581,1125,,Democratic Republic of the Congo,Africa,Homo sapiens,Human,1125,East-Central-South-African,ECSA,
37124.1831,Chikungunya virus chik DRC1728,Chikungunya virus,2016-07-26T00:00:00Z,AY549582,1125,,Democratic Republic of the Congo,Africa,Homo sapiens,Human,1125,East-Central-South-African,ECSA,
37124.1835,Chikungunya virus chik RCA,Chikungunya virus,2016-07-26T00:00:00Z,AY549583,1125,,Democratic Republic of the Congo,Africa,Homo sapiens,Human,1125,East-Central-South-African,ECSA,
37124.184,Chikungunya virus chik DRC1730,Chikungunya virus,2016-07-26T00:00:00Z,AY549584,1125,,Democratic Republic of the Congo,Africa,Homo sapiens,Human,1125,East-Central-South-African,ECSA,
37124.1862,Chikungunya virus 37997,Chikungunya virus,2005-06-07T00:00:00Z,AY726732,11881,,Senegal,Africa,Aedes furcifer,Mosquito,11881,West African,WA,
37124.1863,Chikungunya virus MADOPY1,Chikungunya virus,2015-01-13T00:00:00Z,KP003808,11562,2006-01-01,Madagascar,Africa,Homo sapiens,Human,11562,East-Central-South-African,ECSA,2006-01-01
37124.187,Chikungunya virus GABOPY1,Chikungunya virus,2015-01-13T00:00:00Z,KP003812,11561,2007-01-01,Gabon,Africa,Homo sapiens,Human,11561,East-Central-South-African,ECSA,2007-01-01
37124.1874,Chikungunya virus BRAZZA_MRS1,Chikungunya virus,2017-08-11T00:00:00Z,KP003813,11268,2011-01-01,Republic of the Congo,,Homo sapiens,Human,11268,East-Central-South-African,ECSA,2011-01-01
37124.2006,Chikungunya virus Com5,Chikungunya virus,2015-12-08T00:00:00Z,KP702297,11171,2005-01-01,Comoros,Africa,Homo sapiens,Human,11171,East-Central-South-African,ECSA,2005-01-01
37124.2151,Chikungunya virus 013_02_18,Chikungunya virus,2020-11-17T00:00:00Z,MT380146,10616,2018-02-01,Kenya,Africa,Homo sapiens,Human,10616,East-Central-South-African,ECSA,2018-02-01
37124.2154,Chikungunya virus 027_02_18,Chikungunya virus,2020-11-17T00:00:00Z,MT380147,10602,2018-02-01,Kenya,Africa,Homo sapiens,Human,10602,East-Central-South-African,ECSA,2018-02-01
37124.2157,Chikungunya virus 226_01_18,Chikungunya virus,2020-11-17T00:00:00Z,MT380148,10637,2018-01-01,Kenya,Africa,Homo sapiens,Human,10637,East-Central-South-African,ECSA,2018-01-01
37124.2159,Chikungunya virus 225_01_18,Chikungunya virus,2020-11-17T00:00:00Z,MT380149,10579,2018-01-01,Kenya,Africa,Homo sapiens,Human,10579,East-Central-South-African,ECSA,2018-01-01
37124.2161,Chikungunya virus 322_01_18,Chikungunya virus,2020-11-17T00:00:00Z,MT380150,10632,2018-01-01,Kenya,Africa,Homo sapiens,Human,10632,East-Central-South-African,ECSA,2018-01-01
37124.2163,Chikungunya virus 215_01_18,Chikungunya virus,2020-11-17T00:00:00Z,MT380151,10624,2018-01-01,Kenya,Africa,Homo sapiens,Human,10624,East-Central-South-African,ECSA,2018-01-01
37124.2166,Chikungunya virus 285_01_18,Chikungunya virus,2020-11-17T00:00:00Z,MT380152,10592,2018-01-01,Kenya,Africa,Homo sapiens,Human,10592,East-Central-South-African,ECSA,2018-01-01
37124.2169,Chikungunya virus 272_01_18,Chikungunya virus,2020-11-17T00:00:00Z,MT380153,10618,2018-01-01,Kenya,Africa,Homo sapiens,Human,10618,East-Central-South-African,ECSA,2018-01-01
37124.2172,Chikungunya virus 064_04_18,Chikungunya virus,2020-11-17T00:00:00Z,MT380154,10630,2018-04-01,Kenya,Africa,Homo sapiens,Human,10630,East-Central-South-African,ECSA,2018-04-01
